Sharpe,MaxDD,WinRate,ProfitFactor,Ticker,Model,Accuracy,Return
0.9166414944058691,-0.3246614886275067,0.5296167247386759,1.195281037735526,AAPL,Buy & Hold,,64.55550636222979
0.428411906382417,-0.21970725516894182,0.19022687609075042,1.1383731197119222,AAPL,Base RF,0.48606271777003485,13.82552879775869
0.12094757641135384,-0.26331036009444553,0.24607329842931938,1.031846443298561,AAPL,Sent RF,0.46689895470383275,1.3023734430100742
0.25468689225446983,-0.39186280431502873,0.2877442273534636,1.0673070705581558,AAPL,Base LSTM,0.49645390070921985,7.155051161535075
0.17368828915698487,-0.3170890284170126,0.25932504440497334,1.0504540482456606,AAPL,Sent LSTM,0.4521276595744681,3.1616272868312034
1.1773018672245616,-0.19511633882964094,0.2600349040139616,1.374754631204746,AAPL,ARIMA,0.5121951219512195,55.464881136857834
1.2161780085324552,-0.1600633318929377,0.519163763066202,1.2383319498556637,DAX,Buy & Hold,,48.34149463493767
1.2685378544438324,-0.09801456693954011,0.2425828970331588,1.4097414216884883,DAX,Base RF,0.519163763066202,33.185345916859845
0.834367026392663,-0.09949797654163249,0.2164048865619546,1.2729566664377656,DAX,Sent RF,0.4895470383275261,20.662162315088995
0.16312493930942928,-0.16111131366592218,0.24866785079928952,1.0408208893049138,DAX,Base LSTM,0.48404255319148937,2.6038234638693147
0.6189584110443519,-0.060595405003698394,0.12433392539964476,1.2591749661697256,DAX,Sent LSTM,0.4946808510638298,9.752038645227312
1.281425631817082,-0.1097538659081213,0.2792321116928447,1.3554756679775364,DAX,ARIMA,0.4843205574912892,36.03350617591092
1.1770715025958236,-0.16369226134779416,0.5226480836236934,1.249867500298767,DJI,Buy & Hold,,43.4562362094608
0.8029983782851785,-0.1531560112862244,0.387434554973822,1.1839433361433982,DJI,Base RF,0.49825783972125437,20.996168809067093
1.2052525028387486,-0.1636922613477938,0.5218150087260035,1.2572159821558022,DJI,Sent RF,0.524390243902439,44.70003332671446
1.20792385279965,-0.11225784650665506,0.27353463587921845,1.3382653283902115,DJI,Base LSTM,0.5230496453900709,26.242501267511354
0.7078677684506345,-0.10204068282746372,0.20426287744227353,1.2183500740208422,DJI,Sent LSTM,0.49645390070921985,12.188337629322788
-0.36111283753327494,-0.21852758004314018,0.23734729493891799,0.9091083587467703,DJI,ARIMA,0.47909407665505227,-8.473508615460624
0.863264084177216,-0.23879369754845162,0.524390243902439,1.1707659908978463,MSFT,Buy & Hold,,48.91218132033415
0.4655945902551009,-0.2817087337587488,0.32460732984293195,1.113722132610296,MSFT,Base RF,0.5104529616724739,17.008007316339913
0.3670138222826569,-0.33587069203368336,0.4677137870855148,1.0719032591798467,MSFT,Sent RF,0.5052264808362369,13.514977010993645
0.3991947522325537,-0.24362229363509022,0.27175843694493784,1.1028907928215332,MSFT,Base LSTM,0.4769503546099291,12.772253868749539
0.6934712475603263,-0.1745400636531801,0.369449378330373,1.161892285717142,MSFT,Sent LSTM,0.4946808510638298,28.692633436633443
1.087623971727115,-0.09479434018983272,0.2268760907504363,1.3440378536344697,MSFT,ARIMA,0.4808362369337979,40.51731541752053
1.3109013013830604,-0.22931510308627479,0.554006968641115,1.2778301052476269,NDX,Buy & Hold,,78.7321807110014
0.7543359066653019,-0.309389425865802,0.5218150087260035,1.1463838455642321,NDX,Base RF,0.5278745644599303,33.20251851227069
1.2719134508194399,-0.22931510308627498,0.5462478184991274,1.2707262769707817,NDX,Sent RF,0.5487804878048781,75.02082644324591
0.8003161754160201,-0.15031595821817667,0.30728241563055064,1.2089998909469897,NDX,Base LSTM,0.49645390070921985,24.736683334669962
0.4226467147275763,-0.22196724269551707,0.41207815275310833,1.0879863941025756,NDX,Sent LSTM,0.48936170212765956,14.183520061354237
0.501060268998299,-0.21144118031474843,0.2425828970331588,1.1453257057296045,NDX,ARIMA,0.5087108013937283,13.707095384296487
0.9530317852256908,-0.26258608251890797,0.5069686411149826,1.2009804660324015,NKX,Buy & Hold,,59.47391522468235
0.5772741218686878,-0.18431430758570574,0.1762652705061082,1.2408236168430358,NKX,Base RF,0.5261324041811847,22.25852589488444
1.01022324335219,-0.24296553535341656,0.387434554973822,1.2609107038063914,NKX,Sent RF,0.5278745644599303,58.71982135024953
0.758164393253753,-0.24104821937374718,0.26287744227353466,1.2261966337426333,NKX,Base LSTM,0.5053191489361702,33.316965253905416
0.579004619458595,-0.19345850037506593,0.23623445825932504,1.1596784531781938,NKX,Sent LSTM,0.5035460992907801,17.621130642429208
0.902004363885891,-0.1799645681882369,0.24781849912739964,1.2825875951041394,NKX,ARIMA,0.49477351916376305,38.353329480092114
1.5731249194975445,-0.3688683664592118,0.5174216027874564,1.3232730703457647,NVDA,Buy & Hold,,366.1857343979605
1.4831344310876913,-0.3155669772346644,0.3944153577661431,1.3438476327134359,NVDA,Base RF,0.5034843205574913,219.04869666772905
1.0752873083354242,-0.5298237066763849,0.4572425828970332,1.2224677371837092,NVDA,Sent RF,0.5087108013937283,147.30443295613526
0.9613093052743464,-0.3906310100243385,0.261101243339254,1.2651197191669874,NVDA,Base LSTM,0.4858156028368794,87.41125768451117
0.6535132598006593,-0.4357637355724338,0.28063943161634103,1.16875935020989,NVDA,Sent LSTM,0.48226950354609927,49.84346618931737
0.19405273446003712,-0.4217525143500188,0.24956369982547993,1.0504236753854659,NVDA,ARIMA,0.4616724738675958,1.1887239691837248
1.4143394401348084,-0.1890220779115092,0.5452961672473867,1.3126141389523696,SPX,Buy & Hold,,62.39332294998184
