Date,News_Sentiment,News_Disagreement,News_Volatility,News_Volume
20130406,-2.5028694339908144,3.6994257183488997,6.8366070239185746,6489
20130405,-2.43363655367957,3.750230006470286,6.747164412399812,11209
20130407,-2.4007209214378293,3.724077948207204,7.028707800123189,6677
20130401,-2.0546128961220247,3.712949766088611,6.627503750513879,9524
20130413,-2.4348138627579807,3.755251717087888,6.967219121149648,6443
20130404,-2.14196345829416,3.7561894270126857,6.61813804079637,12091
20130403,-2.174458940345762,3.731096757811068,6.64982739251605,12604
20130402,-2.0377481586233777,3.77708707649026,6.568701760191799,11640
20130414,-2.2716441473339857,3.6945636382392433,6.856533210593142,6209
20130410,-1.9988624705304543,3.5949133675258715,6.607453566518701,13037
20130412,-2.118928443407093,3.6566174621913263,6.626556678510443,11333
20130415,-1.9975078284770036,3.6208945373271892,6.595575158176068,11577
20130408,-2.0357454242956465,3.5681818830975036,6.6838662751181435,12395
20130409,-2.144472544653932,3.6069305461234795,6.6095487894334095,13071
20130416,-2.2018154633509788,3.7354872928681058,6.718529803458283,10553
20130420,-2.6584194493088185,3.922485613153252,7.005212093828276,5609
20130411,-2.04167382855445,3.5554852148053766,6.562640195608538,12921
20130417,-2.181411894318188,3.7233993248576267,6.715177484655364,11102
20130413,-2.4348138627579807,3.755251717087888,6.967219121149648,6443
20130414,-2.2716441473339857,3.6945636382392433,6.856533210593142,6209
20130406,-2.5028694339908144,3.6994257183488997,6.8366070239185746,6489
20130407,-2.4007209214378293,3.724077948207204,7.028707800123189,6677
20130405,-2.43363655367957,3.750230006470286,6.747164412399812,11209
20130401,-2.0546128961220247,3.712949766088611,6.627503750513879,9524
20130415,-1.9975078284770036,3.6208945373271892,6.595575158176068,11577
20130412,-2.118928443407093,3.6566174621913263,6.626556678510443,11333
20130404,-2.14196345829416,3.7561894270126857,6.61813804079637,12091
20130411,-2.04167382855445,3.5554852148053766,6.562640195608538,12921
20130408,-2.0357454242956465,3.5681818830975036,6.6838662751181435,12395
20130402,-2.0377481586233777,3.77708707649026,6.568701760191799,11640
20130403,-2.174458940345762,3.731096757811068,6.64982739251605,12604
20130410,-1.9988624705304543,3.5949133675258715,6.607453566518701,13037
20130409,-2.144472544653932,3.6069305461234795,6.6095487894334095,13071
20130420,-2.6584194493088185,3.922485613153252,7.005212093828276,5609
20130421,-2.536156982136703,3.891897350748101,7.014382977036672,5946
20130416,-2.2018154633509788,3.7354872928681058,6.718529803458283,10553
20130417,-2.181411894318188,3.7233993248576267,6.715177484655364,11102
20130419,-2.275006018663149,3.672346533438146,6.622397520061552,9265
20130418,-2.229456514889758,3.738941714606503,6.669639381047811,11837
20130422,-2.1790292237187625,3.6984582363921414,6.55022003111398,11285
20130428,-2.478020633210077,3.8289098955530783,6.8324339047791245,6042
20130427,-2.7313214731069695,3.9270178270018046,7.029574784765758,6317
20130423,-2.2801978011834105,3.739671048138173,6.677539205148435,11759
20130424,-2.102245098465445,3.7708096127641983,6.662041153093177,11475
20130426,-2.319227964518121,3.7157156137724257,6.7275813595100065,10386
20130425,-1.9445372352216146,3.6386017752939477,6.5113163412616295,11863
20130429,-2.168094096882779,3.746342679945107,6.603610475986992,11657
20130504,-2.5206626641542753,3.7044696940215727,6.751787170081548,6394
20130430,-1.976745542423244,3.8631903522389113,6.625390675583917,12095
20130501,-2.1609467632133352,3.733216983745826,6.626748022886238,10042
20130505,-2.617130676663466,3.7986778611419956,6.918960761441872,6666
20130503,-2.392384612519224,3.834576998715115,6.708115281744032,10764
