Date,MSFT_Open,MSFT_Close,MSFT_Volume,NKX_Open,NKX_Close,NKX_Volume,NDX_Open,NDX_Close,NDX_Volume,DAX_Open,DAX_Close,DAX_Volume,DJI_Open,DJI_Close,DJI_Volume,NVDA_Open,NVDA_Close,NVDA_Volume,AAPL_Open,AAPL_Close,AAPL_Volume,SPX_Open,SPX_Close,SPX_Volume
2013-04-01,23.427,23.4006,35699184.264216,12371.34,12135.02,1981590400.0,2819.78,2797.07,255406897.0,,,,14578.54,14572.85,91397497.0,0.297218,0.288138,476819541.0,13.5023,13.0983,455454589.0,1569.18,1562.17,1529505556.0
2013-04-02,23.3841,23.5588,34790979.836048,12051.57,12003.43,2744705536.0,2809.0,2820.62,272551724.0,7806.12,7943.87,116769828.0,14572.85,14662.01,98417272.0,0.288378,0.284976,400043524.0,13.0579,13.1249,619413882.0,1562.17,1570.25,1840088889.0
2013-04-03,23.5148,23.3596,42865610.695859,12112.09,12362.2,2350039552.0,2821.97,2795.04,312743103.0,7926.88,7874.75,103685012.0,14662.01,14550.35,127211478.0,0.284497,0.28167,379580248.0,13.1732,13.191,424559739.0,1570.25,1553.69,2255894444.0
2013-04-04,23.224,23.3841,55336167.177423,12188.22,12634.54,3093806336.0,2794.42,2794.93,254434483.0,7902.86,7817.39,144996334.0,14550.35,14606.11,104726999.0,0.280771,0.284277,317329537.0,13.2461,13.0608,419245607.0,1553.69,1559.98,1861483333.0
2013-04-05,23.0987,23.4749,62260211.850415,12880.82,12833.64,4771825152.0,2749.64,2771.75,274843103.0,7820.69,7658.75,144759676.0,14606.11,14565.25,131162779.0,0.280272,0.289278,593676460.0,12.9643,12.9239,447951654.0,1559.98,1553.28,1953005556.0
2013-04-06,,,,,,,,,,,,,,,,,,,,,,,,
2013-04-07,,,,,,,,,,,,,,,,,,,,,,,,
2013-04-08,23.4984,23.3841,42494883.105378,13082.61,13192.59,3138987776.0,2772.3,2786.13,228193103.0,7669.04,7662.64,85361044.0,14565.25,14613.48,106704785.0,0.289538,0.288608,351733028.0,12.975,13.0165,351948240.0,1553.26,1563.07,1603955556.0
2013-04-09,23.4984,24.2221,95036669.940511,13309.13,13192.35,2875507712.0,2793.86,2788.87,258298276.0,7704.35,7637.51,120782813.0,14613.48,14673.46,128641615.0,0.288858,0.293253,409805402.0,13.0204,13.0392,358654259.0,1563.11,1568.61,1807100000.0
2013-04-10,24.1879,24.7672,86914127.46701,13177.31,13288.13,3598406144.0,2812.49,2859.21,305150000.0,7664.16,7810.63,158663880.0,14673.46,14802.24,120445655.0,0.293473,0.297865,414215053.0,13.0766,13.3063,439459155.0,1568.61,1587.73,1918527778.0
2013-04-11,23.8021,23.6654,160044304.71795,13444.95,13549.16,3684949504.0,2850.0,2858.61,315374138.0,7799.31,7871.63,126500577.0,14802.24,14865.14,144601102.0,0.293733,0.296529,1043626148.0,13.2461,13.2637,384116527.0,1587.73,1593.37,1885527778.0
