Model,Accuracy,Return
Buy & Hold,,57.786211132951415
Base RF,0.5226480836236934,-22.686467051372194
Sent RF,0.46689895470383275,-1.4724579748105149
Base LSTM,0.49645390070921985,9.786034560208012
Sent LSTM,0.5053191489361702,58.02371944264044
